,lat,long,tipo
59,-34.627015467002,-58.4267890228972,subte
60,-34.6253661058926,-58.4155328189678,subte
61,-34.5751783641113,-58.435013533733795,subte
62,-34.5700123078257,-58.44466814833489,subte
63,-34.5662152421589,-58.4521256033889,subte
64,-34.5623090869974,-58.456489134589006,subte
65,-34.5871978529904,-58.455029286281004,subte
66,-34.6433121624098,-58.461651761689794,subte
67,-34.640137352298005,-58.457891755773105,subte
68,-34.6078023364289,-58.3739558069511,subte
69,-34.608810309168895,-58.3709684989674,subte
70,-34.5556417664261,-58.462378408224296,subte
71,-34.6029894966332,-58.369929850122396,subte
72,-34.5840946201161,-58.4662272046921,subte
73,-34.5812488459579,-58.4742408261771,subte
74,-34.626666593180296,-58.45670979752379,subte
75,-34.6235289528893,-58.448647654026395,subte
76,-34.6044902016081,-58.4054503284842,subte
77,-34.6384059882851,-58.4057948259686,subte
78,-34.6412689433909,-58.4123851512005,subte
79,-34.5777973775423,-58.4810135036721,subte
80,-34.574318914274805,-58.4863853478891,subte
81,-34.630707087006,-58.4696396292247,subte
82,-34.629087226797,-58.463540510628604,subte
83,-34.5984551117734,-58.403721496438706,subte
84,-34.5874615464262,-58.3972155751019,subte
85,-34.5945253962188,-58.402376175034895,subte
86,-34.5830363400093,-58.39101882656,subte
87,-34.592114361931,-58.37584983743049,subte
88,-34.596596818975,-58.3717003329901,subte
89,-34.6030139059231,-58.3704125010713,subte
90,-34.5924239181221,-58.3747109506359,bicicleta
91,-34.611033074021,-58.368256111128,bicicleta
92,-34.6018228613782,-58.3687766674259,bicicleta
93,-34.5805498216604,-58.420951914897,bicicleta
94,-34.6285274659984,-58.3697538990917,bicicleta
95,-34.6064989079791,-58.3810942201453,bicicleta
96,-34.6094227344644,-58.3893329884138,bicicleta
97,-34.5854432977906,-58.4077381929972,bicicleta
98,-34.5927101559138,-58.3888034467677,bicicleta
99,-34.6100908682761,-58.4059972958341,bicicleta
100,-34.5774240238567,-58.4263849214833,bicicleta
101,-34.6064108220505,-58.4187284062523,bicicleta
102,-34.579861904009,-58.4417741874136,bicicleta
103,-34.6401125513497,-58.4064295289892,bicicleta
104,-34.5938635127407,-58.3825459912056,bicicleta
105,-34.600139769095,-58.3798321215593,bicicleta
106,-34.610584002164,-58.3808905407121,bicicleta
107,-34.5894272476256,-58.4161153745592,bicicleta
108,-34.600752860888,-58.3638677528182,bicicleta
